Code,Title,Chapter_Block,Category,provider_state
D18,"Haemangioma and lymphangioma, any site",D10-D36,category,UT
P12,Birth injury to scalp,P10-P15,category,OK
P12,Birth injury to scalp,P10-P15,category,TX
P12,Birth injury to scalp,P10-P15,category,LA
P12,Birth injury to scalp,P10-P15,category,NY
P12,Birth injury to scalp,P10-P15,category,PA
P12,Birth injury to scalp,P10-P15,category,ID
P12,Birth injury to scalp,P10-P15,category,ND
P12,Birth injury to scalp,P10-P15,category,OR
P12,Birth injury to scalp,P10-P15,category,GA
P12,Birth injury to scalp,P10-P15,category,NE
P12,Birth injury to scalp,P10-P15,category,MI
P12,Birth injury to scalp,P10-P15,category,IN
P12,Birth injury to scalp,P10-P15,category,FL
P12,Birth injury to scalp,P10-P15,category,CA
P12,Birth injury to scalp,P10-P15,category,OH
P12,Birth injury to scalp,P10-P15,category,AZ
P12,Birth injury to scalp,P10-P15,category,NV
P12,Birth injury to scalp,P10-P15,category,IL
P12,Birth injury to scalp,P10-P15,category,IA
P12,Birth injury to scalp,P10-P15,category,UT
D22,Melanocytic naevi,D10-D36,category,TX
D22,Melanocytic naevi,D10-D36,category,OK
D22,Melanocytic naevi,D10-D36,category,LA
D22,Melanocytic naevi,D10-D36,category,NY
D22,Melanocytic naevi,D10-D36,category,PA
D22,Melanocytic naevi,D10-D36,category,GA
D22,Melanocytic naevi,D10-D36,category,ND
D22,Melanocytic naevi,D10-D36,category,KS
D22,Melanocytic naevi,D10-D36,category,IN
D22,Melanocytic naevi,D10-D36,category,NE
D22,Melanocytic naevi,D10-D36,category,MI
D22,Melanocytic naevi,D10-D36,category,AZ
D22,Melanocytic naevi,D10-D36,category,OH
D22,Melanocytic naevi,D10-D36,category,ID
D22,Melanocytic naevi,D10-D36,category,FL
D22,Melanocytic naevi,D10-D36,category,IL
D22,Melanocytic naevi,D10-D36,category,OR
D22,Melanocytic naevi,D10-D36,category,AL
D22,Melanocytic naevi,D10-D36,category,IA
D22,Melanocytic naevi,D10-D36,category,CA
D22,Melanocytic naevi,D10-D36,category,NV
D22,Melanocytic naevi,D10-D36,category,UT
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,OK
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,TX
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,NY
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,KS
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,PA
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,GA
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,ID
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,ND
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,OR
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,IN
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,NE
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,LA
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,IA
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,FL
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,MI
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,OH
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,IL
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,NV
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,AZ
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,CA
B96,Other specified bacterial agents as the cause of diseases classified to other chapters,B95-B98,category,UT
D31,Benign neoplasm of eye and adnexa,D10-D36,category,TX
D31,Benign neoplasm of eye and adnexa,D10-D36,category,FL
D31,Benign neoplasm of eye and adnexa,D10-D36,category,PA
D31,Benign neoplasm of eye and adnexa,D10-D36,category,OK
D31,Benign neoplasm of eye and adnexa,D10-D36,category,OR
D31,Benign neoplasm of eye and adnexa,D10-D36,category,GA
D31,Benign neoplasm of eye and adnexa,D10-D36,category,NY
D31,Benign neoplasm of eye and adnexa,D10-D36,category,ND
D31,Benign neoplasm of eye and adnexa,D10-D36,category,NE
D31,Benign neoplasm of eye and adnexa,D10-D36,category,LA
D31,Benign neoplasm of eye and adnexa,D10-D36,category,ID
D31,Benign neoplasm of eye and adnexa,D10-D36,category,KS
D31,Benign neoplasm of eye and adnexa,D10-D36,category,OH
D31,Benign neoplasm of eye and adnexa,D10-D36,category,IN
D31,Benign neoplasm of eye and adnexa,D10-D36,category,AL
D31,Benign neoplasm of eye and adnexa,D10-D36,category,MI
D31,Benign neoplasm of eye and adnexa,D10-D36,category,AZ
D31,Benign neoplasm of eye and adnexa,D10-D36,category,IL
D31,Benign neoplasm of eye and adnexa,D10-D36,category,NV
D31,Benign neoplasm of eye and adnexa,D10-D36,category,IA
D31,Benign neoplasm of eye and adnexa,D10-D36,category,CA
D31,Benign neoplasm of eye and adnexa,D10-D36,category,UT
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,TX
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,OK
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,PA
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,GA
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,NY
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,KS
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,IN
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,LA
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,ND
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,NE
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,OR
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,ID
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,MI
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,AL
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,IL
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,OH
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,NV
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,FL
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,IA
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,AZ
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,CA
D28,Benign neoplasm of other and unspecified female genital organs,D10-D36,category,UT
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,OK
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,TX
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,NY
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,NE
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,IN
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,PA
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,GA
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,MI
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,OH
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,FL
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,IL
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,ID
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,AZ
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,CA
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,NV
B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,B95-B98,category,LA
D29,Benign neoplasm of male genital organs,D10-D36,category,TX
D29,Benign neoplasm of male genital organs,D10-D36,category,NY
D29,Benign neoplasm of male genital organs,D10-D36,category,PA
D29,Benign neoplasm of male genital organs,D10-D36,category,OK
D29,Benign neoplasm of male genital organs,D10-D36,category,NE
D29,Benign neoplasm of male genital organs,D10-D36,category,FL
D29,Benign neoplasm of male genital organs,D10-D36,category,IN
D29,Benign neoplasm of male genital organs,D10-D36,category,OR
D29,Benign neoplasm of male genital organs,D10-D36,category,ID
D29,Benign neoplasm of male genital organs,D10-D36,category,OH
D29,Benign neoplasm of male genital organs,D10-D36,category,MI
D29,Benign neoplasm of male genital organs,D10-D36,category,IL
D29,Benign neoplasm of male genital organs,D10-D36,category,GA
D29,Benign neoplasm of male genital organs,D10-D36,category,AZ
D29,Benign neoplasm of male genital organs,D10-D36,category,CA
D29,Benign neoplasm of male genital organs,D10-D36,category,IA
D29,Benign neoplasm of male genital organs,D10-D36,category,NV
D29,Benign neoplasm of male genital organs,D10-D36,category,LA
D29,Benign neoplasm of male genital organs,D10-D36,category,UT
R77,Other abnormalities of plasma proteins,R70-R79,category,OK
R77,Other abnormalities of plasma proteins,R70-R79,category,NY
R77,Other abnormalities of plasma proteins,R70-R79,category,TX
R77,Other abnormalities of plasma proteins,R70-R79,category,NE
R77,Other abnormalities of plasma proteins,R70-R79,category,ID
R77,Other abnormalities of plasma proteins,R70-R79,category,PA
R77,Other abnormalities of plasma proteins,R70-R79,category,OR
R77,Other abnormalities of plasma proteins,R70-R79,category,MI
R77,Other abnormalities of plasma proteins,R70-R79,category,LA
R77,Other abnormalities of plasma proteins,R70-R79,category,FL
R77,Other abnormalities of plasma proteins,R70-R79,category,IA
R77,Other abnormalities of plasma proteins,R70-R79,category,GA
R77,Other abnormalities of plasma proteins,R70-R79,category,IN
R77,Other abnormalities of plasma proteins,R70-R79,category,IL
R77,Other abnormalities of plasma proteins,R70-R79,category,OH
R77,Other abnormalities of plasma proteins,R70-R79,category,NV
R77,Other abnormalities of plasma proteins,R70-R79,category,AZ
R77,Other abnormalities of plasma proteins,R70-R79,category,CA
R77,Other abnormalities of plasma proteins,R70-R79,category,ND
R77,Other abnormalities of plasma proteins,R70-R79,category,UT
D86,Sarcoidosis,D80-D89,category,OK
D86,Sarcoidosis,D80-D89,category,PA
D86,Sarcoidosis,D80-D89,category,NY
D86,Sarcoidosis,D80-D89,category,GA
D86,Sarcoidosis,D80-D89,category,OR
D86,Sarcoidosis,D80-D89,category,MI
D86,Sarcoidosis,D80-D89,category,NE
D86,Sarcoidosis,D80-D89,category,IN
D86,Sarcoidosis,D80-D89,category,FL
D86,Sarcoidosis,D80-D89,category,OH
D86,Sarcoidosis,D80-D89,category,AZ
D86,Sarcoidosis,D80-D89,category,CA
D86,Sarcoidosis,D80-D89,category,IL
D86,Sarcoidosis,D80-D89,category,TX
D86,Sarcoidosis,D80-D89,category,NV
R82,Other abnormal findings in urine,R80-R82,category,TX
R82,Other abnormal findings in urine,R80-R82,category,PA
R82,Other abnormal findings in urine,R80-R82,category,OK
R82,Other abnormal findings in urine,R80-R82,category,ND
R82,Other abnormal findings in urine,R80-R82,category,NY
R82,Other abnormal findings in urine,R80-R82,category,GA
R82,Other abnormal findings in urine,R80-R82,category,KS
R82,Other abnormal findings in urine,R80-R82,category,ID
R82,Other abnormal findings in urine,R80-R82,category,FL
R82,Other abnormal findings in urine,R80-R82,category,MI
R82,Other abnormal findings in urine,R80-R82,category,CA
R82,Other abnormal findings in urine,R80-R82,category,IN
R82,Other abnormal findings in urine,R80-R82,category,NE
R82,Other abnormal findings in urine,R80-R82,category,AL
R82,Other abnormal findings in urine,R80-R82,category,IA
R82,Other abnormal findings in urine,R80-R82,category,OR
R82,Other abnormal findings in urine,R80-R82,category,OH
R82,Other abnormal findings in urine,R80-R82,category,NV
R82,Other abnormal findings in urine,R80-R82,category,AZ
R82,Other abnormal findings in urine,R80-R82,category,LA
R82,Other abnormal findings in urine,R80-R82,category,IL
R82,Other abnormal findings in urine,R80-R82,category,UT
J03,Acute tonsillitis,J00-J06,category,TX
J03,Acute tonsillitis,J00-J06,category,NY
J03,Acute tonsillitis,J00-J06,category,GA
J03,Acute tonsillitis,J00-J06,category,ID
J03,Acute tonsillitis,J00-J06,category,FL
J03,Acute tonsillitis,J00-J06,category,PA
J03,Acute tonsillitis,J00-J06,category,MI
J03,Acute tonsillitis,J00-J06,category,OK
J03,Acute tonsillitis,J00-J06,category,IN
J03,Acute tonsillitis,J00-J06,category,IL
J03,Acute tonsillitis,J00-J06,category,LA
J03,Acute tonsillitis,J00-J06,category,NV
J03,Acute tonsillitis,J00-J06,category,IA
J03,Acute tonsillitis,J00-J06,category,NE
J03,Acute tonsillitis,J00-J06,category,OH
J03,Acute tonsillitis,J00-J06,category,AZ
J03,Acute tonsillitis,J00-J06,category,CA
J03,Acute tonsillitis,J00-J06,category,UT
L11,Other acantholytic disorders,L10-L14,category,OK
L11,Other acantholytic disorders,L10-L14,category,TX
L11,Other acantholytic disorders,L10-L14,category,NY
L11,Other acantholytic disorders,L10-L14,category,LA
L11,Other acantholytic disorders,L10-L14,category,ID
L11,Other acantholytic disorders,L10-L14,category,PA
L11,Other acantholytic disorders,L10-L14,category,NE
L11,Other acantholytic disorders,L10-L14,category,ND
L11,Other acantholytic disorders,L10-L14,category,GA
L11,Other acantholytic disorders,L10-L14,category,OR
L11,Other acantholytic disorders,L10-L14,category,FL
L11,Other acantholytic disorders,L10-L14,category,MI
L11,Other acantholytic disorders,L10-L14,category,OH
L11,Other acantholytic disorders,L10-L14,category,IL
L11,Other acantholytic disorders,L10-L14,category,IN
L11,Other acantholytic disorders,L10-L14,category,NV
L11,Other acantholytic disorders,L10-L14,category,CA
L11,Other acantholytic disorders,L10-L14,category,AZ
L11,Other acantholytic disorders,L10-L14,category,UT
L11,Other acantholytic disorders,L10-L14,category,IA
D26,Other benign neoplasms of uterus,D10-D36,category,OK
D26,Other benign neoplasms of uterus,D10-D36,category,PA
D26,Other benign neoplasms of uterus,D10-D36,category,NY
D26,Other benign neoplasms of uterus,D10-D36,category,ID
D26,Other benign neoplasms of uterus,D10-D36,category,GA
D26,Other benign neoplasms of uterus,D10-D36,category,OR
D26,Other benign neoplasms of uterus,D10-D36,category,ND
D26,Other benign neoplasms of uterus,D10-D36,category,OH
D26,Other benign neoplasms of uterus,D10-D36,category,TX
D26,Other benign neoplasms of uterus,D10-D36,category,NE
D26,Other benign neoplasms of uterus,D10-D36,category,MI
D26,Other benign neoplasms of uterus,D10-D36,category,IN
D26,Other benign neoplasms of uterus,D10-D36,category,IA
D26,Other benign neoplasms of uterus,D10-D36,category,LA
D26,Other benign neoplasms of uterus,D10-D36,category,IL
D26,Other benign neoplasms of uterus,D10-D36,category,FL
D26,Other benign neoplasms of uterus,D10-D36,category,NV
D26,Other benign neoplasms of uterus,D10-D36,category,AZ
D26,Other benign neoplasms of uterus,D10-D36,category,CA
D26,Other benign neoplasms of uterus,D10-D36,category,UT
I01,Rheumatic fever with heart involvement,I00-I02,category,TX
I01,Rheumatic fever with heart involvement,I00-I02,category,OK
I01,Rheumatic fever with heart involvement,I00-I02,category,PA
I01,Rheumatic fever with heart involvement,I00-I02,category,GA
I01,Rheumatic fever with heart involvement,I00-I02,category,NY
I01,Rheumatic fever with heart involvement,I00-I02,category,ND
I01,Rheumatic fever with heart involvement,I00-I02,category,IN
I01,Rheumatic fever with heart involvement,I00-I02,category,LA
I01,Rheumatic fever with heart involvement,I00-I02,category,KS
I01,Rheumatic fever with heart involvement,I00-I02,category,ID
I01,Rheumatic fever with heart involvement,I00-I02,category,OR
I01,Rheumatic fever with heart involvement,I00-I02,category,MI
I01,Rheumatic fever with heart involvement,I00-I02,category,OH
I01,Rheumatic fever with heart involvement,I00-I02,category,NE
I01,Rheumatic fever with heart involvement,I00-I02,category,IA
I01,Rheumatic fever with heart involvement,I00-I02,category,NV
I01,Rheumatic fever with heart involvement,I00-I02,category,FL
I01,Rheumatic fever with heart involvement,I00-I02,category,IL
I01,Rheumatic fever with heart involvement,I00-I02,category,AL
I01,Rheumatic fever with heart involvement,I00-I02,category,AZ
I01,Rheumatic fever with heart involvement,I00-I02,category,CA
I01,Rheumatic fever with heart involvement,I00-I02,category,UT
J02,Acute pharyngitis,J00-J06,category,OK
J02,Acute pharyngitis,J00-J06,category,PA
J02,Acute pharyngitis,J00-J06,category,NY
J02,Acute pharyngitis,J00-J06,category,TX
J02,Acute pharyngitis,J00-J06,category,LA
J02,Acute pharyngitis,J00-J06,category,GA
J02,Acute pharyngitis,J00-J06,category,KS
J02,Acute pharyngitis,J00-J06,category,ND
J02,Acute pharyngitis,J00-J06,category,MI
J02,Acute pharyngitis,J00-J06,category,ID
J02,Acute pharyngitis,J00-J06,category,OR
J02,Acute pharyngitis,J00-J06,category,NE
J02,Acute pharyngitis,J00-J06,category,IN
J02,Acute pharyngitis,J00-J06,category,IL
J02,Acute pharyngitis,J00-J06,category,OH
J02,Acute pharyngitis,J00-J06,category,AL
J02,Acute pharyngitis,J00-J06,category,NV
J02,Acute pharyngitis,J00-J06,category,IA
J02,Acute pharyngitis,J00-J06,category,FL
J02,Acute pharyngitis,J00-J06,category,AZ
J02,Acute pharyngitis,J00-J06,category,CA
J02,Acute pharyngitis,J00-J06,category,UT
I60,Subarachnoid haemorrhage,I60-I69,category,OK
I60,Subarachnoid haemorrhage,I60-I69,category,ND
I60,Subarachnoid haemorrhage,I60-I69,category,PA
I60,Subarachnoid haemorrhage,I60-I69,category,NY
I60,Subarachnoid haemorrhage,I60-I69,category,FL
I60,Subarachnoid haemorrhage,I60-I69,category,ID
I60,Subarachnoid haemorrhage,I60-I69,category,NE
I60,Subarachnoid haemorrhage,I60-I69,category,IA
I60,Subarachnoid haemorrhage,I60-I69,category,GA
I60,Subarachnoid haemorrhage,I60-I69,category,IL
I60,Subarachnoid haemorrhage,I60-I69,category,OR
I60,Subarachnoid haemorrhage,I60-I69,category,IN
I60,Subarachnoid haemorrhage,I60-I69,category,MI
I60,Subarachnoid haemorrhage,I60-I69,category,OH
I60,Subarachnoid haemorrhage,I60-I69,category,NV
I60,Subarachnoid haemorrhage,I60-I69,category,AZ
I60,Subarachnoid haemorrhage,I60-I69,category,CA
I60,Subarachnoid haemorrhage,I60-I69,category,TX
I60,Subarachnoid haemorrhage,I60-I69,category,UT
R79,Other abnormal findings of blood chemistry,R70-R79,category,TX
R79,Other abnormal findings of blood chemistry,R70-R79,category,OK
R79,Other abnormal findings of blood chemistry,R70-R79,category,ND
R79,Other abnormal findings of blood chemistry,R70-R79,category,PA
R79,Other abnormal findings of blood chemistry,R70-R79,category,KS
R79,Other abnormal findings of blood chemistry,R70-R79,category,GA
R79,Other abnormal findings of blood chemistry,R70-R79,category,ID
R79,Other abnormal findings of blood chemistry,R70-R79,category,MI
R79,Other abnormal findings of blood chemistry,R70-R79,category,NY
R79,Other abnormal findings of blood chemistry,R70-R79,category,OH
R79,Other abnormal findings of blood chemistry,R70-R79,category,OR
R79,Other abnormal findings of blood chemistry,R70-R79,category,IN
R79,Other abnormal findings of blood chemistry,R70-R79,category,NE
R79,Other abnormal findings of blood chemistry,R70-R79,category,IL
R79,Other abnormal findings of blood chemistry,R70-R79,category,FL
R79,Other abnormal findings of blood chemistry,R70-R79,category,IA
R79,Other abnormal findings of blood chemistry,R70-R79,category,LA
R79,Other abnormal findings of blood chemistry,R70-R79,category,AZ
R79,Other abnormal findings of blood chemistry,R70-R79,category,NV
R79,Other abnormal findings of blood chemistry,R70-R79,category,CA
R79,Other abnormal findings of blood chemistry,R70-R79,category,UT
F50,Eating disorders,F50-F59,category,NY
F50,Eating disorders,F50-F59,category,OK
F50,Eating disorders,F50-F59,category,PA
F50,Eating disorders,F50-F59,category,ND
F50,Eating disorders,F50-F59,category,ID
F50,Eating disorders,F50-F59,category,OR
F50,Eating disorders,F50-F59,category,NE
F50,Eating disorders,F50-F59,category,LA
F50,Eating disorders,F50-F59,category,IN
F50,Eating disorders,F50-F59,category,MI
F50,Eating disorders,F50-F59,category,TX
F50,Eating disorders,F50-F59,category,IL
F50,Eating disorders,F50-F59,category,GA
F50,Eating disorders,F50-F59,category,FL
F50,Eating disorders,F50-F59,category,IA
F50,Eating disorders,F50-F59,category,NV
F50,Eating disorders,F50-F59,category,OH
F50,Eating disorders,F50-F59,category,AZ
F50,Eating disorders,F50-F59,category,CA
F50,Eating disorders,F50-F59,category,UT
I69,Sequelae of cerebrovascular disease,I60-I69,category,PA
I69,Sequelae of cerebrovascular disease,I60-I69,category,NY
I69,Sequelae of cerebrovascular disease,I60-I69,category,TX
I69,Sequelae of cerebrovascular disease,I60-I69,category,OH
I69,Sequelae of cerebrovascular disease,I60-I69,category,OK
I69,Sequelae of cerebrovascular disease,I60-I69,category,MI
I69,Sequelae of cerebrovascular disease,I60-I69,category,NE
I69,Sequelae of cerebrovascular disease,I60-I69,category,IN
I69,Sequelae of cerebrovascular disease,I60-I69,category,ID
I69,Sequelae of cerebrovascular disease,I60-I69,category,IL
I69,Sequelae of cerebrovascular disease,I60-I69,category,FL
I69,Sequelae of cerebrovascular disease,I60-I69,category,GA
I69,Sequelae of cerebrovascular disease,I60-I69,category,CA
I69,Sequelae of cerebrovascular disease,I60-I69,category,IA
I69,Sequelae of cerebrovascular disease,I60-I69,category,AZ
I69,Sequelae of cerebrovascular disease,I60-I69,category,NV
F90,Hyperkinetic disorders,F90-F98,category,NY
F90,Hyperkinetic disorders,F90-F98,category,PA
F90,Hyperkinetic disorders,F90-F98,category,OK
F90,Hyperkinetic disorders,F90-F98,category,ID
F90,Hyperkinetic disorders,F90-F98,category,TX
F90,Hyperkinetic disorders,F90-F98,category,GA
F90,Hyperkinetic disorders,F90-F98,category,ND
F90,Hyperkinetic disorders,F90-F98,category,NE
F90,Hyperkinetic disorders,F90-F98,category,OR
F90,Hyperkinetic disorders,F90-F98,category,IN
F90,Hyperkinetic disorders,F90-F98,category,MI
F90,Hyperkinetic disorders,F90-F98,category,LA
F90,Hyperkinetic disorders,F90-F98,category,FL
F90,Hyperkinetic disorders,F90-F98,category,IA
F90,Hyperkinetic disorders,F90-F98,category,OH
F90,Hyperkinetic disorders,F90-F98,category,AZ
F90,Hyperkinetic disorders,F90-F98,category,IL
F90,Hyperkinetic disorders,F90-F98,category,NV
F90,Hyperkinetic disorders,F90-F98,category,CA
F90,Hyperkinetic disorders,F90-F98,category,UT
Y07,Other maltreatment,X85-Y09,category,LA
Y07,Other maltreatment,X85-Y09,category,OK
Y07,Other maltreatment,X85-Y09,category,PA
Y07,Other maltreatment,X85-Y09,category,GA
Y07,Other maltreatment,X85-Y09,category,TX
Y07,Other maltreatment,X85-Y09,category,KS
Y07,Other maltreatment,X85-Y09,category,ND
Y07,Other maltreatment,X85-Y09,category,NY
Y07,Other maltreatment,X85-Y09,category,ID
Y07,Other maltreatment,X85-Y09,category,NE
Y07,Other maltreatment,X85-Y09,category,MI
Y07,Other maltreatment,X85-Y09,category,IN
Y07,Other maltreatment,X85-Y09,category,OR
Y07,Other maltreatment,X85-Y09,category,AL
Y07,Other maltreatment,X85-Y09,category,FL
Y07,Other maltreatment,X85-Y09,category,CA
Y07,Other maltreatment,X85-Y09,category,AZ
Y07,Other maltreatment,X85-Y09,category,OH
Y07,Other maltreatment,X85-Y09,category,IL
Y07,Other maltreatment,X85-Y09,category,IA
Y07,Other maltreatment,X85-Y09,category,NV
